aaa,9933865,8699,109,180
aab,9995697,8953,50,140
aac,9940070,8784,268,391
aad,9632987,10143,83,212
aae,9656019,8867,159,295
aaf,9967152,9696,182,275
aag,9983963,8490,154,211
aba,9948133,7249,82,122
abb,9296492,8555,155,233
abc,9966678,8892,97,145
abd,9980970,6989,41,67
abe,9915400,7179,149,254
abf,9923325,8613,39,67
abg,9940620,9307,161,350
aca,9913388,8719,280,582
acb,9953557,7234,17,65
acc,9802668,9908,44,82
acd,9959315,9949,164,264
ace,9892418,8357,99,381
acf,9941946,9937,57,85
acg,9841862,9157,238,323
ada,9955141,9314,122,196
adb,9964540,8658,115,278
adc,9833493,8045,10,27
add,9894109,10183,121,173
ade,9919540,9198,24,84
adf,9983464,8721,334,475
adg,9894931,8185,86,208
aea,9938240,9927,178,324
aeb,9931060,9752,20,70
aec,9935429,9072,304,660
aed,9989978,10394,34,55
aee,9797385,9255,36,66
aef,9960009,8378,58,216
aeg,9723170,9224,53,98
afa,9918295,9536,203,319
afb,9785938,8621,82,154
afc,9953365,8046,157,253
afd,9600051,8345,41,154
afe,9838269,9911,218,367
aff,9909568,8800,215,361
afg,9946256,9398,154,239
aga,9781104,10286,36,140
agb,9940507,8613,5,8
agc,9917824,11458,122,299
agd,9823878,8810,173,240
age,9980886,8863,161,246
agf,9974356,8798,7,14
agg,9952626,8437,59,128
baa,9916984,8925,44,113
bab,9851675,9351,68,110
bac,9733534,9593,67,131
bad,9698745,10190,138,297
bae,9700329,8790,167,280
baf,9742363,10000,164,245
bag,9935796,9206,144,262
bba,9357440,8429,256,423
bbb,9711560,7358,6,25
bbc,9971098,7942,161,302
bbd,9809271,9027,39,69
bbe,9958544,9237,485,771
bbf,9988560,7674,5,11
bbg,9661560,10840,125,216
bca,9858622,9955,155,308
bcb,9809678,9512,54,160
bcc,9901330,9309,683,1269
bcd,9824745,7690,36,62
bce,9568401,8198,65,173
bcf,9772928,9161,9,30
bcg,9727418,9099,165,416
bda,9940900,9241,13,34
bdb,9950495,10142,163,330
bdc,9694103,10133,226,421
bdd,9634672,9492,137,358
bde,9936913,9377,127,194
bdf,9878260,9101,188,349
bdg,9746234,10687,141,188
bea,9715593,10272,58,157
beb,9918855,8757,166,270
bec,9950677,9472,9,19
bed,9726119,8144,28,92
bee,9883854,7343,171,282
bef,9661130,7665,157,305
beg,9973167,10540,229,372
bfa,9784405,7836,90,253
bfb,9926204,8200,117,215
bfc,9736179,8756,212,343
bfd,9892270,8377,229,349
bfe,9921732,10302,66,138
bff,9950801,9155,84,115
bfg,9905947,9390,72,188
bga,9718577,8961,51,71
bgb,9842151,7882,160,266
bgc,9924897,10148,5,5
bgd,9969111,9314,157,223
bge,9722169,8855,86,153
bgf,9633017,8551,66,97
bgg,9571133,10292,227,383
caa,9974561,7376,106,292
cab,9805194,9134,84,192
cac,9710755,7026,381,786
cad,9949002,8718,101,192
cae,9903423,9058,124,210
caf,9976829,8148,310,510
cag,9965948,10603,198,318
cba,9802878,8766,208,379
cbb,9765493,8502,119,176
cbc,9734254,8944,83,206
cbd,9958472,8952,38,84
cbe,9855813,9058,279,401
cbf,9901339,9198,130,276
cbg,9982506,10174,142,242
cca,9971418,9377,294,568
ccb,9988922,7550,151,260
ccc,9899021,8701,40,87
ccd,9851688,9274,151,290
cce,9984340,8192,175,213
ccf,9847690,8958,97,211
ccg,9915421,7487,64,136
cda,9911834,9485,69,166
cdb,9579203,9134,144,276
cdc,9987735,9658,101,219
cdd,9880142,9258,124,259
cde,9584628,8930,23,66
cdf,9792361,8759,130,248
cdg,9955815,8775,207,320
cea,9693242,8741,120,184
ceb,9916348,8600,19,32
cec,9879883,9186,26,55
ced,9832327,8447,68,102
cee,9892027,9775,111,207
cef,9891462,8605,95,202
ceg,9258832,9752,223,350
cfa,9988458,8883,140,279
cfb,9909726,7212,5,7
cfc,9896760,9385,280,406
cfd,9797043,10358,80,287
cfe,9971993,9817,208,284
cff,9720683,10222,25,80
cfg,9680510,11067,113,215
cga,9864978,10059,105,176
cgb,9964872,8671,198,292
cgc,9837748,8320,105,182
cgd,9899336,7108,146,319
cge,9672428,9538,26,75
cgf,9951490,9350,130,204
cgg,9929868,8930,89,269
daa,9762422,10566,69,220
dab,9702699,8755,215,377
dac,9778570,8085,147,228
dad,9981651,8862,406,831
dae,9939897,9157,213,328
daf,9959714,7156,14,25
dag,9918368,7678,44,152
dba,9951681,8842,174,269
dbb,9976113,9029,148,289
dbc,9897054,8998,5,10
dbd,9583016,8103,87,170
dbe,9604451,10435,331,530
dbf,9902788,10385,150,305
dbg,9934514,8824,66,127
dca,9941611,8395,93,169
dcb,9986021,10315,91,169
dcc,9816029,8722,188,328
dcd,9942480,8897,103,246
dce,9182304,10174,152,303
dcf,9946809,9975,93,161
dcg,9715652,8827,5,8
dda,9977416,9341,140,254
ddb,9918417,9800,14,33
ddc,9944340,10212,5,10
ddd,9998635,8806,6,19
dde,9586094,8289,16,45
ddf,9892966,8852,179,482
ddg,9907676,9310,11,28
dea,9969111,9741,181,335
deb,9984082,8737,235,424
dec,9661279,8011,131,232
ded,9943514,8433,139,299
dee,9962972,8138,111,168
def,9541947,9654,29,91
deg,9908610,9363,37,99
dfa,9964002,8482,97,163
dfb,9793620,9189,92,234
